Module,MSC
MTH1004,62-XX
MTH1004,60-XX
MTH2003,34-XX
MTH2003,35-XX
MTH2003,45-XX
MTH2003,15-XX
MTH1002,14-XX
MTH1002,15-XX
MTH1002,26-XX
MTH1002,44-XX
MTH2009,15-XX
MTH2009,34-XX
MTH2009,08-XX
MTH1003,68-XX
MTH1003,35-XX
MTH1003,32-XX
MTH1003,40-XX
MTH2006,68-XX
MTH2006,62-XX
MTH2006,60-XX
MTH3035,00-02
MTH1001,03-XX
MTH1001,11-XX
MTH1001,11-XX
MTH1001,12-XX
MTH1001,16-XX
MTH1001,20-XX
MTH1001,22-XX
MTH3006,92-XX
MTH3006,45-XX
MTH3006,35-XX
MTH3042,45-XX
MTH3042,14-XX
MTH3042,03-XX
MTH3042,34-XX
MTH3042,40-XX
MTH3042,53-XX
MTH3042,44-XX
MTH2008,34-XX
MTH2008,26-XX
MTH3022,03-XX
MTH3022,16-XX
MTH3022,90-XX
MTH3007,76-XX
MTH3007,70-XX
MTH3007,74-XX
MTH3007,53-XX
MTH2004,30-XX
MTH2004,32-XX
MTH2004,40-XX
MTH2004,34-XX
MTH2004,35-XX
MTH2005,68-XX
MTH2005,34-XX
